iter	Passed	Remaining
0	12	12078
1	26	13264
2	45	14986
3	56	14034
4	65	13026
5	75	12505
6	84	12023
7	93	11633
8	102	11320
9	112	11128
10	122	10973
11	130	10723
12	143	10928
13	153	10844
14	162	10671
15	172	10595
16	178	10348
17	186	10159
18	192	9942
19	201	9891
20	212	9898
21	220	9792
22	227	9656
23	234	9524
24	242	9445
25	249	9343
26	256	9226
27	263	9146
28	270	9042
29	278	8992
30	287	8993
31	296	8958
32	305	8938
33	314	8934
34	323	8915
35	333	8937
36	342	8911
37	351	8902
38	360	8892
39	372	8944
40	384	9004
41	394	8997
42	403	8976
43	410	8923
44	419	8911
45	430	8922
46	439	8921
47	454	9015
48	466	9050
49	483	9184
50	496	9240
51	509	9292
52	517	9255
53	528	9265
54	538	9247
55	547	9229
56	556	9206
57	564	9173
58	573	9152
59	582	9124
60	588	9065
61	595	9011
62	601	8952
63	608	8902
64	618	8893
65	628	8890
66	637	8871
67	647	8870
68	657	8871
69	666	8849
70	676	8851
71	684	8821
72	694	8814
73	702	8785
74	712	8791
75	723	8800
76	733	8789
77	743	8788
78	753	8783
79	760	8743
80	770	8745
81	779	8727
82	788	8713
83	796	8683
84	804	8655
85	811	8621
86	819	8596
87	828	8583
88	838	8583
89	847	8571
90	856	8551
91	862	8517
92	871	8497
93	878	8465
94	887	8456
95	897	8451
96	906	8441
97	916	8433
98	928	8454
99	948	8535
100	978	8709
101	998	8786
102	1013	8826
103	1024	8828
104	1035	8825
105	1049	8850
106	1061	8863
107	1070	8843
108	1079	8823
109	1088	8804
110	1095	8776
111	1104	8757
112	1112	8732
113	1121	8718
114	1126	8666
115	1134	8645
116	1143	8629
117	1151	8609
118	1156	8559
119	1160	8512
120	1168	8488
121	1176	8465
122	1182	8433
123	1190	8407
124	1197	8382
125	1204	8351
126	1210	8322
127	1217	8295
128	1222	8256
129	1229	8229
130	1233	8181
131	1240	8155
132	1245	8121
133	1253	8100
134	1257	8059
135	1262	8023
136	1268	7988
137	1275	7968
138	1282	7943
139	1289	7923
140	1296	7898
141	1305	7889
142	1309	7847
143	1316	7827
144	1324	7808
145	1332	7791
146	1335	7752
147	1342	7730
148	1348	7701
149	1355	7682
150	1360	7648
151	1369	7638
152	1373	7605
153	1380	7584
154	1388	7570
155	1392	7536
156	1399	7515
157	1403	7481
158	1407	7442
159	1413	7418
160	1418	7390
161	1424	7367
162	1428	7333
163	1436	7324
164	1445	7316
165	1454	7307
166	1461	7288
167	1470	7282
168	1480	7282
169	1493	7290
170	1505	7296
171	1521	7325
172	1532	7328
173	1544	7334
174	1550	7308
175	1560	7306
176	1568	7291
177	1576	7278
178	1584	7267
179	1595	7266
180	1604	7258
181	1614	7254
182	1622	7244
183	1633	7242
184	1640	7226
185	1649	7220
186	1660	7219
187	1667	7203
188	1677	7196
189	1686	7188
190	1695	7181
191	1704	7174
192	1716	7176
193	1728	7179
194	1738	7178
195	1751	7185
196	1766	7199
197	1778	7205
198	1790	7207
199	1801	7206
200	1811	7202
201	1822	7198
202	1832	7193
203	1841	7185
204	1847	7165
205	1861	7175
206	1872	7175
207	1879	7157
208	1887	7143
209	1895	7130
210	1904	7119
211	1913	7111
212	1920	7096
213	1927	7080
214	1937	7072
215	1944	7056
216	1952	7043
217	1960	7033
218	1969	7024
219	1976	7007
220	1984	6995
221	1991	6979
222	2002	6978
223	2011	6968
224	2019	6956
225	2030	6953
226	2040	6947
227	2052	6950
228	2063	6947
229	2077	6953
230	2085	6944
231	2095	6937
232	2105	6930
233	2115	6924
234	2125	6919
235	2136	6916
236	2145	6906
237	2154	6899
238	2163	6889
239	2174	6886
240	2185	6882
241	2193	6871
242	2200	6856
243	2207	6838
244	2213	6820
245	2219	6802
246	2225	6785
247	2231	6767
248	2237	6749
249	2241	6725
250	2248	6710
251	2254	6692
252	2262	6679
253	2268	6662
254	2277	6654
255	2285	6643
256	2293	6631
257	2300	6616
258	2309	6608
259	2318	6597
260	2327	6589
261	2334	6575
262	2342	6563
263	2348	6547
264	2356	6535
265	2363	6522
266	2371	6510
267	2379	6498
268	2385	6482
269	2393	6470
270	2400	6456
271	2407	6442
272	2413	6425
273	2421	6416
274	2428	6403
275	2436	6391
276	2446	6385
277	2456	6380
278	2465	6372
279	2474	6363
280	2483	6354
281	2498	6360
282	2507	6352
283	2519	6352
284	2531	6349
285	2543	6350
286	2562	6365
287	2574	6364
288	2584	6357
289	2593	6349
290	2600	6334
291	2608	6324
292	2615	6311
293	2622	6296
294	2628	6280
295	2635	6268
296	2641	6251
297	2648	6239
298	2655	6224
299	2661	6209
300	2667	6194
301	2673	6180
302	2680	6165
303	2687	6152
304	2694	6139
305	2702	6129
306	2711	6120
307	2719	6109
308	2727	6098
309	2738	6094
310	2750	6092
311	2758	6082
312	2767	6075
313	2775	6064
314	2786	6059
315	2797	6054
316	2804	6042
317	2815	6037
318	2825	6031
319	2833	6021
320	2842	6012
